DIVISION,DISTRICT,THANA/UPAZILA,EIIN,NAME OF THE SCHOOL,POST_OFFICE,LOCATION,MOBPHONE
BARISAL,BARGUNA,AMTALI,100011,AMTALI A.K. PILOT HIGH SCHOOL,AMTALI,"437, A K SCHOOL ROAD, AMTALI",1746091667
BARISAL,BARGUNA,AMTALI,131151,AMTALI MU. SECONDARY SCHOOL,AMTALI,AMTALI,1716028658
BARISAL,BARGUNA,AMTALI,100026,ARPAN GASHIA HIGH SCHOOL,TARIKATA,ARPAN GASHIA,1724183205
BARISAL,BARGUNA,AMTALI,100037,ATHARAGACHIA SECONDARY SCHOOL,SONAKHALI,ATHARAGACHIA,1713956096
BARISAL,BARGUNA,AMTALI,100020,CHALAVANGA HIGH SCHOOL PRO,CHALAVANGA,CHALAVANGA,1726175459
BARISAL,BARGUNA,AMTALI,100016,CHARAKGACHIA SECONDARY SCHOOL,PANCHAKORALIA,CHARAKGACHIA,1734083408
BARISAL,BARGUNA,AMTALI,100019,CHILA HASHEM BISWAS HIGH SCHOOL,PACHIM CHILA,CHILA,1715952046
BARISAL,BARGUNA,AMTALI,100012,CHOTONILGONG HIGH SCHOOL,CHALABHANGA,CHOTONILGONG,1718925197
BARISAL,BARGUNA,AMTALI,100021,CHUNAKHALI HIGH SCHOOL,HAT-CHUNAKHALI, CHUNAKHALI,1716030833
BARISAL,BARGUNA,AMTALI,100003,DAKSHIN KATHALIA TAZEM ALI SECONDARY SCHOOL,SOUTH KATHALIA,KATHALIA,1720343613
BARISAL,BARGUNA,AMTALI,100050,DAKSHIN TAKTABUIA SECONDARY SCHOOL,HALDIA,SAKSHIN TAKTABUNIA,1718361040
BARISAL,BARGUNA,AMTALI,100017,EAST CHILA RAHMANIA HIGH SCHOOL,PASCHIM CHILA,PURBA CHILA,1716203073
BARISAL,BARGUNA,AMTALI,100032,GAZIPUR BANDAIR HIGH SCHOOL,GAZIPUR BANDAR,GAZIPUR BANDAIR,1712659808
BARISAL,BARGUNA,AMTALI,100044,GHATKHALI HIGH SCHOOL,GHATKHALI,GHATKHALI,1748265596
BARISAL,BARGUNA,AMTALI,100023,GOZ-KHALI(MLT) HIGH SCHOOL,BAIN BUNIA,GOZKHALI,1720485877
BARISAL,BARGUNA,AMTALI,100015,GULSHA KHALIISHAQUE HIGH SCHOOL,GULISHAKHALI,GULISHAKHALI,1716080742
BARISAL,BARGUNA,AMTALI,100030,HALDIA GRUDAL BANGO BANDU HIGH SCHOOL,HALDIA BAZAR,HALDIA,1715886917
BARISAL,BARGUNA,AMTALI,100024,KAUNIA IBRAHIM ACADEMY,AMTALI,KAUNIA,1721810903
BARISAL,BARGUNA,AMTALI,100035,KEWABUNIA SECONDARY SCHOOL,HAT CHUNAKHALI,KEWABUNIA,1716475978
BARISAL,BARGUNA,AMTALI,100034,KHEKUANI HIGH SCHOOL,KHEKUANI,KHEKUANI,1737227025
BARISAL,BARGUNA,AMTALI,100031,KUKUA ADARSHA HIGH SCHOOL,KUKUA,KUKUA,1713647486
BARISAL,BARGUNA,AMTALI,100022,MAFIZ UDDIN GIRLS PILOT HIGH SCHOOL,AMTALI, UPZILA ROAD,1718101316
BARISAL,BARGUNA,AMTALI,100028,SHAHEED SOHRAWARDI SECONDARY SCHOOL,S.SOHRAWARDY HIGH SCHOOL,KUKUA,1719765468
BARISAL,BARGUNA,AMTALI,100014,SHAKHRIA HIGH SCHOOL,HAZIR HAT,SHAKHARIA,1712040882
BARISAL,BARGUNA,AMTALI,100033,SOUTH RAOGHA NUR AL AMIN SECONDARY SCHOOL,PATAKATA,SOUTH RAOGHA,1719938577
BARISAL,BARGUNA,AMTALI,100018,TARIKATA SECONDARY SCHOOL,TARIKATA,TARIKATA,1714588243
BARISAL,BARGUNA,BAMNA,100119,BAMNA ASMATUNNESSA PILOT SECONDARY GIRLS SCHOOL,BAMNA,SHAFIPUR HOLDING NO- 10,1714765637
BARISAL,BARGUNA,BAMNA,100117,BUKABUNIA ADASHA SECONDARY SCHOOL,BUKABUNIA,BUKABUNIA,1715387732
BARISAL,BARGUNA,BAMNA,100124,HALDA DOUATALA SAMABAY MULTILATERAL SECONDARY SCHOOL,HALTA,DOUATALA,1735590094
BARISAL,BARGUNA,BAMNA,100120,HOGALPATI DOUATALA UNION SECONDARY SCHOOL,HOGALPATI,HOGALPATI,1741013435
BARISAL,BARGUNA,BAMNA,100126,J C L JUNIOR HIGH SCHOOL,NOBABER HAT,CHALITABUNIA,1718777816
BARISAL,BARGUNA,BAMNA,100122,JAFRAKHALI HIGH SCHOOL,BALYBUNIA,JAFRAKHALI,1758751845
BARISAL,BARGUNA,BAMNA,100127,KHOLPATUA ADARSHA JUNIOR SECONDARY SCHOOL,KHOLPATUA,KHOLPATUA,1719733075
BARISAL,BARGUNA,BAMNA,100121,LATABUNIA SECONDARY SCHOOL,BARA TALASHAR,LATABUNIA,1718829807
BARISAL,BARGUNA,BAMNA,100123,RAMNA SHER-E BANGLA SAMABAYA SECONDARY SCHOOL,GHOLA GHATA,ROMNA,1721098300
BARISAL,BARGUNA,BAMNA,100125,UTTAR KAKCHIRA SECONDARY SCHOOL,GUDIGHATA KAKCHIRA,UTTAR  KAKCHIRA,1710180089
BARISAL,BARGUNA,BARGUNA SADAR,100178,AMTALI A.K. ADRSHA HIGH SCHOOL,HEWLI BUNIA,AMTALI,1710744166
